"marker","cluster","BvsT1","T1vsT2","B_RvsNR","T1_RvsNR","T2_RvsNR","d_T1_B_RvsNR","d_T2_B_RvsNR","d_T2_T1_RvsNR","mean_d_T1_B_R","mean_d_T1_B_NR","mean_d_T2_B_R","mean_d_T2_B_NR","mean_d_T2_T1_R","mean_d_T2_T1_NR"
"CCR5","cDC2","0.243","0.695","0.429","0.646","0.476","0.574","0.352","0.914","0.047","0.134","0.11","0.027","0.008","0.005"
"CCR5","DNT","0.94","0.164","0.743","0.51","0.905","0.827","0.73","0.905","-0.11","-0.052","0.041","0.282","0.253","0.253"
"CCR5","DPT","0.004","0.124","0.721","0.195","0.61","0.104","0.476","0.61","0.392","0.166","0.323","0.338","-0.078","0.178"
"CCR5","GMDSC","0.007","0.77","0.377","0.827","0.762","0.165","0.905","0.914","0.578","0.32","0.533","0.182","-0.064","-0.048"
"CCR5","MMDSC_I","0.193","0.301","0.16","0.571","0.61","0.09","0.114","0.556","0.238","-0.008","0.312","0.166","0.112","0.057"
"CCR5","MMDSC_II","0.021","0.922","0.797","0.913","0.067","0.724","0.886","0.61","0.533","0.193","0.61","0.364","0.166","0.028"
"CCR5","MMDSC_III","0","0.922","0.721","0.879","0.352","0.442","0.61","0.914","0.588","0.424","0.523","0.4","-0.07","-0.007"
"CCR5","Mono_I","0.003","0.492","0.234","0.13","0.171","0.328","0.762","0.762","0.363","0.246","0.436","0.287","0.073","-0.004"
"CCR5","Mono_II","0.274","1","0.743","0.959","0.762","0.913","0.762","0.352","0.026","0.213","0.009","-0.111","0.094","-0.08"
"CCR5","Mono_III","0.007","1","0.46","0.493","0.915","0.048","0.257","0.915","0.305","0.107","0.291","0.213","0.006","0.068"
"CCR5","Neu","0.002","0.037","0.574","0.721","0.762","0.16","0.476","0.61","0.236","0.098","0.292","0.201","0.088","0.092"
"CCR5","NK_like","0.009","0.041","0.16","0.399","0.762","0.874","0.61","0.593","0.085","0.092","0.236","0.178","0.166","0.133"
"CCR5","pDC","0","0.492","0.493","0.792","0.914","1","1","0.914","0.384","0.38","0.294","0.399","-0.103","0.154"
"CCR5","UA","0.487","0.492","0.234","0.879","1","0.442","0.171","0.352","0.219","-0.08","0.299","-0.168","0.026","-0.185"
"CCR7","B","0.064","1","0.383","0.574","0.61","0.879","0.067","0.114","-0.079","-0.104","0.076","-0.359","0.134","-0.103"
"CCR7","Baso","0.061","0.557","0.383","0.792","0.134","0.279","1","0.171","0.005","-0.131","-0.166","-0.094","-0.182","0.028"
"CCR7","CD4_T","0.098","0.193","0.959","0.721","0.762","0.082","0.61","1","-0.262","-0.017","-0.395","-0.29","-0.144","-0.203"
"CCR7","CD8_T","0.925","0.625","0.721","0.082","0.914","0.035","0.61","0.171","-0.411","0.201","-0.247","-0.121","0.186","-0.127"
"CCR7","cDC1","0.064","0.695","0.646","0.574","0.171","0.234","1","1","-0.013","-0.22","-0.328","-0.304","-0.262","0.004"
"CCR7","cDC2","0.141","0.084","0.187","0.442","0.352","0.082","0.476","0.352","0.011","-0.147","0.026","-0.025","0.011","0.058"
"CCR7","DNT","0.495","0.359","0.51","0.377","0.413","0.743","1","0.905","0.008","0.08","0.047","-0.002","0.054","0.043"
"CCR7","DPT","0.517","0.846","0.383","0.279","0.914","0.037","0.61","0.476","-0.331","0.075","-0.253","-0.171","0.069","-0.104"
"CCR7","GMDSC","1","0.922","0.257","0.734","0.352","0.165","0.556","0.114","0.147","-0.094","0.028","-0.036","-0.108","0.103"
